id,symbol,type,entry_time,entry_price,sl,tp,exit_price,exit_time,pnl_pips,comment
1,AUDCAD,BUY,2025-02-18 01:00:00,0.90138,0.90093,0.90228,0.90093,2025-02-18 02:00:00,-44.99999999999504,SL Hit
2,AUDCAD,SELL,2025-03-03 06:00:00,0.89806,0.89851,0.89716,0.89716,2025-03-03 08:00:00,90.00000000000118,TP Hit
3,AUDCAD,SELL,2025-03-07 21:00:00,0.90621,0.90666,0.90531,0.90666,2025-03-07 22:00:00,-45.00000000000614,SL Hit
4,AUDCAD,BUY,2025-03-17 02:00:00,0.90944,0.90899,0.91034,0.91034,2025-03-17 03:00:00,90.00000000000118,TP Hit
5,AUDCAD,SELL,2025-03-20 03:00:00,0.90793,0.90838,0.90703,0.90838,2025-03-20 04:00:00,-44.99999999999504,SL Hit
6,AUDCAD,SELL,2025-04-07 18:00:00,0.85043,0.85088,0.84953,0.84953,2025-04-07 19:00:00,90.00000000000118,TP Hit
7,AUDCAD,BUY,2025-04-17 12:00:00,0.88249,0.88204,0.88339,0.88339,2025-04-17 14:00:00,90.00000000000118,TP Hit
8,AUDCAD,SELL,2025-05-01 07:00:00,0.88268,0.88313,0.88178,0.88178,2025-05-01 08:00:00,90.00000000000118,TP Hit
9,AUDCAD,BUY,2025-05-15 03:00:00,0.89843,0.89798,0.89933,0.89933,2025-05-15 04:00:00,90.00000000000118,TP Hit
10,AUDCAD,SELL,2025-05-21 11:00:00,0.89457,0.89502,0.89367,0.89367,2025-05-21 13:00:00,90.00000000000118,TP Hit
11,AUDCAD,SELL,2025-05-23 16:00:00,0.88911,0.88956,0.88821,0.88956,2025-05-23 17:00:00,-45.00000000000614,SL Hit
