id,symbol,type,entry_time,entry_price,sl,tp,volume,exit_price,exit_time,pnl_pips,comment
1,EURUSD,BUY,2023-01-05 01:00:00,1.06061,1.0,1.0,0.01,1.0,2023-01-05 02:00:00,-6061.000000000005,SL/TP hit
2,EURUSD,SELL,2023-01-05 22:00:00,1.0520100000000001,1.0,1.0,0.01,1.0,2023-01-05 23:00:00,5201.000000000011,SL/TP hit
3,EURUSD,BUY,2023-01-09 03:00:00,1.06667,1.0,1.0,0.01,1.0,2023-01-09 04:00:00,-6667.0,SL/TP hit
4,EURUSD,SELL,2023-01-16 18:00:00,1.0824799999999999,1.0,1.0,0.01,1.0,2023-01-16 19:00:00,8247.999999999987,SL/TP hit
5,EURUSD,BUY,2023-01-19 02:00:00,1.07875,1.0,1.0,0.01,1.0,2023-01-19 03:00:00,-7875.000000000009,SL/TP hit
6,EURUSD,SELL,2023-01-19 09:00:00,1.08081,1.0,1.0,0.01,1.0,2023-01-19 10:00:00,8081.000000000005,SL/TP hit
7,EURUSD,BUY,2023-01-19 23:00:00,1.08294,1.0,1.0,0.01,1.0,2023-01-20 00:00:00,-8294.0,SL/TP hit
8,EURUSD,SELL,2023-01-24 18:00:00,1.08718,1.0,1.0,0.01,1.0,2023-01-24 19:00:00,8718.000000000004,SL/TP hit
9,EURUSD,BUY,2023-01-25 08:00:00,1.09063,1.0,1.0,0.01,1.0,2023-01-25 09:00:00,-9062.999999999998,SL/TP hit
10,EURUSD,SELL,2023-01-27 02:00:00,1.08964,1.0,1.0,0.01,1.0,2023-01-27 03:00:00,8963.999999999993,SL/TP hit
11,EURUSD,BUY,2023-01-30 17:00:00,1.08708,1.0,1.0,0.01,1.0,2023-01-30 18:00:00,-8708.000000000004,SL/TP hit
12,EURUSD,SELL,2023-01-30 23:00:00,1.085,1.0,1.0,0.01,1.0,2023-01-31 00:00:00,8499.999999999996,SL/TP hit
13,EURUSD,BUY,2023-02-01 10:00:00,1.08875,1.0,1.0,0.01,1.0,2023-02-01 11:00:00,-8875.00000000001,SL/TP hit
14,EURUSD,SELL,2023-02-03 06:00:00,1.08931,1.0,1.0,0.01,1.0,2023-02-03 07:00:00,8931.0,SL/TP hit
15,EURUSD,BUY,2023-02-08 14:00:00,1.07338,1.0,1.0,0.01,1.0,2023-02-08 15:00:00,-7337.999999999999,SL/TP hit
