id,symbol,type,entry_time,entry_price,sl,tp,exit_price,exit_time,pnl_pips,comment
1,EURUSD,SELL,2025-01-03 13:00:00,1.02972,1.03072,1.02822,1.02822,2025-01-03 17:00:00,150.00000000000568,TP Hit
2,EURUSD,SELL,2025-01-03 18:00:00,1.02906,1.03006,1.02756,1.03006,2025-01-03 19:00:00,-99.99999999998897,SL Hit
3,EURUSD,BUY,2025-01-08 06:00:00,1.03511,1.03411,1.03661,1.03514,2025-01-08 08:00:00,2.9999999999974487,Strategy Exit (EMA Cross)
4,EURUSD,SELL,2025-01-09 04:00:00,1.03164,1.03264,1.03014,1.03014,2025-01-09 08:00:00,149.99999999998346,TP Hit
5,EURUSD,SELL,2025-01-14 03:00:00,1.02489,1.02589,1.02339,1.02589,2025-01-14 09:00:00,-99.99999999998897,SL Hit
6,EURUSD,SELL,2025-01-30 09:00:00,1.04232,1.04332,1.04082,1.04082,2025-01-30 11:00:00,149.99999999998346,TP Hit
7,EURUSD,SELL,2025-02-04 04:00:00,1.03219,1.03319,1.03069,1.03069,2025-02-04 06:00:00,149.99999999998346,TP Hit
8,EURUSD,SELL,2025-02-28 18:00:00,1.04018,1.04118,1.03868,1.03868,2025-02-28 20:00:00,150.00000000000568,TP Hit
9,EURUSD,SELL,2025-03-21 05:00:00,1.08349,1.08449,1.08199,1.08199,2025-03-21 07:00:00,150.00000000000568,TP Hit
10,EURUSD,BUY,2025-04-04 14:00:00,1.10596,1.10496,1.10746,1.10496,2025-04-04 15:00:00,-100.00000000001118,SL Hit
11,EURUSD,BUY,2025-04-07 02:00:00,1.09828,1.09728,1.09978,1.09728,2025-04-07 03:00:00,-99.99999999998897,SL Hit
12,EURUSD,SELL,2025-05-09 19:00:00,1.1258,1.1268,1.1243,1.1243,2025-05-12 00:00:00,149.99999999998346,TP Hit
13,EURUSD,SELL,2025-05-13 13:00:00,1.11043,1.11143,1.10893,1.11143,2025-05-13 15:00:00,-99.99999999998897,SL Hit
14,EURUSD,BUY,2025-05-15 04:00:00,1.11929,1.11829,1.12079,1.12079,2025-05-15 09:00:00,150.00000000000568,TP Hit
15,EURUSD,BUY,2025-05-22 03:00:00,1.13267,1.13167,1.13417,1.13417,2025-05-22 05:00:00,149.99999999998346,TP Hit
16,EURUSD,BUY,2025-06-05 12:00:00,1.14181,1.14081,1.14331,1.14331,2025-06-05 15:00:00,150.00000000000568,TP Hit
