id,symbol,type,entry_time,entry_price,sl,tp,volume,exit_price,exit_time,pnl_pips,comment
1,GBPUSD,BUY,2023-01-04 23:00:00,1.20532,1.0,1.0,0.01,1.0,2023-01-05 00:00:00,-20531.999999999993,SL/TP hit
2,GBPUSD,SELL,2023-01-05 23:00:00,1.19128,1.0,1.0,0.01,1.0,2023-01-06 00:00:00,19127.99999999999,SL/TP hit
3,GBPUSD,BUY,2023-01-09 06:00:00,1.21415,1.0,1.0,0.01,1.0,2023-01-09 07:00:00,-21415.000000000004,SL/TP hit
4,GBPUSD,SELL,2023-01-11 11:00:00,1.21324,1.0,1.0,0.01,1.0,2023-01-11 12:00:00,21324.000000000007,SL/TP hit
5,GBPUSD,BUY,2023-01-12 17:00:00,1.21553,1.0,1.0,0.01,1.0,2023-01-12 18:00:00,-21552.999999999996,SL/TP hit
6,GBPUSD,SELL,2023-01-17 05:00:00,1.21906,1.0,1.0,0.01,1.0,2023-01-17 06:00:00,21906.0,SL/TP hit
7,GBPUSD,BUY,2023-01-17 21:00:00,1.22739,1.0,1.0,0.01,1.0,2023-01-17 22:00:00,-22738.999999999996,SL/TP hit
8,GBPUSD,SELL,2023-01-24 07:00:00,1.23867,1.0,1.0,0.01,1.0,2023-01-24 08:00:00,23866.999999999993,SL/TP hit
9,GBPUSD,BUY,2023-01-26 04:00:00,1.24007,1.0,1.0,0.01,1.0,2023-01-26 05:00:00,-24007.0,SL/TP hit
10,GBPUSD,SELL,2023-01-30 01:00:00,1.24001,1.0,1.0,0.01,1.0,2023-01-30 02:00:00,24001.000000000004,SL/TP hit
11,GBPUSD,BUY,2023-01-30 19:00:00,1.23631,1.0,1.0,0.01,1.0,2023-01-30 20:00:00,-23631.0,SL/TP hit
12,GBPUSD,SELL,2023-01-30 22:00:00,1.23484,1.0,1.0,0.01,1.0,2023-01-30 23:00:00,23483.999999999993,SL/TP hit
13,GBPUSD,BUY,2023-02-02 05:00:00,1.23849,1.0,1.0,0.01,1.0,2023-02-02 06:00:00,-23849.000000000007,SL/TP hit
14,GBPUSD,SELL,2023-02-03 01:00:00,1.22208,1.0,1.0,0.01,1.0,2023-02-03 02:00:00,22208.000000000004,SL/TP hit
15,GBPUSD,BUY,2023-02-08 13:00:00,1.20923,1.0,1.0,0.01,1.0,2023-02-08 14:00:00,-20923.0,SL/TP hit
16,GBPUSD,SELL,2023-02-10 21:00:00,1.20489,1.0,1.0,0.01,1.0,2023-02-10 22:00:00,20489.0,SL/TP hit
17,GBPUSD,BUY,2023-02-14 05:00:00,1.21458,1.0,1.0,0.01,1.0,2023-02-14 06:00:00,-21457.999999999996,SL/TP hit
18,GBPUSD,SELL,2023-02-15 18:00:00,1.2029,1.0,1.0,0.01,1.0,2023-02-15 19:00:00,20290.000000000007,SL/TP hit
19,GBPUSD,BUY,2023-02-20 12:00:00,1.20292,1.0,1.0,0.01,1.0,2023-02-20 13:00:00,-20291.999999999996,SL/TP hit
20,GBPUSD,SELL,2023-02-23 08:00:00,1.20672,1.0,1.0,0.01,1.0,2023-02-23 09:00:00,20672.0,SL/TP hit
21,GBPUSD,BUY,2023-02-28 03:00:00,1.20529,1.0,1.0,0.01,1.0,2023-02-28 04:00:00,-20528.999999999996,SL/TP hit
22,GBPUSD,SELL,2023-03-01 20:00:00,1.20019,1.0,1.0,0.01,1.0,2023-03-01 21:00:00,20019.000000000007,SL/TP hit
23,GBPUSD,BUY,2023-03-06 01:00:00,1.20272,1.0,1.0,0.01,1.0,2023-03-06 02:00:00,-20272.0,SL/TP hit
24,GBPUSD,SELL,2023-03-07 19:00:00,1.18494,1.0,1.0,0.01,1.0,2023-03-07 20:00:00,18494.000000000007,SL/TP hit
25,GBPUSD,BUY,2023-03-09 22:00:00,1.19185,1.0,1.0,0.01,1.0,2023-03-09 23:00:00,-19185.000000000007,SL/TP hit
26,GBPUSD,SELL,2023-03-15 16:00:00,1.20655,1.0,1.0,0.01,1.0,2023-03-15 17:00:00,20655.0,SL/TP hit
27,GBPUSD,BUY,2023-03-17 09:00:00,1.2163599999999999,1.0,1.0,0.01,1.0,2023-03-17 10:00:00,-21635.999999999985,SL/TP hit
28,GBPUSD,SELL,2023-03-22 09:00:00,1.22596,1.0,1.0,0.01,1.0,2023-03-22 10:00:00,22595.999999999993,SL/TP hit
29,GBPUSD,BUY,2023-03-23 00:00:00,1.22653,1.0,1.0,0.01,1.0,2023-03-23 01:00:00,-22652.99999999999,SL/TP hit
30,GBPUSD,SELL,2023-03-24 16:00:00,1.2224599999999999,1.0,1.0,0.01,1.0,2023-03-24 17:00:00,22245.999999999985,SL/TP hit
31,GBPUSD,BUY,2023-03-28 03:00:00,1.2309700000000001,1.0,1.0,0.01,1.0,2023-03-28 04:00:00,-23097.00000000001,SL/TP hit
32,GBPUSD,SELL,2023-03-30 14:00:00,1.23383,1.0,1.0,0.01,1.0,2023-03-30 15:00:00,23382.999999999996,SL/TP hit
33,GBPUSD,BUY,2023-03-30 18:00:00,1.23673,1.0,1.0,0.01,1.0,2023-03-30 19:00:00,-23673.000000000007,SL/TP hit
34,GBPUSD,SELL,2023-04-03 07:00:00,1.2281,1.0,1.0,0.01,1.0,2023-04-03 08:00:00,22809.999999999996,SL/TP hit
35,GBPUSD,BUY,2023-04-04 06:00:00,1.24042,1.0,1.0,0.01,1.0,2023-04-04 07:00:00,-24042.000000000007,SL/TP hit
36,GBPUSD,SELL,2023-04-06 10:00:00,1.24689,1.0,1.0,0.01,1.0,2023-04-06 11:00:00,24689.000000000004,SL/TP hit
37,GBPUSD,BUY,2023-04-11 23:00:00,1.24257,1.0,1.0,0.01,1.0,2023-04-12 00:00:00,-24256.999999999993,SL/TP hit
38,GBPUSD,SELL,2023-04-17 01:00:00,1.24068,1.0,1.0,0.01,1.0,2023-04-17 02:00:00,24068.0,SL/TP hit
39,GBPUSD,BUY,2023-04-19 01:00:00,1.24273,1.0,1.0,0.01,1.0,2023-04-19 02:00:00,-24272.999999999985,SL/TP hit
40,GBPUSD,SELL,2023-04-21 15:00:00,1.24135,1.0,1.0,0.01,1.0,2023-04-21 16:00:00,24134.999999999993,SL/TP hit
41,GBPUSD,BUY,2023-04-24 16:00:00,1.2448,1.0,1.0,0.01,1.0,2023-04-24 17:00:00,-24479.99999999999,SL/TP hit
42,GBPUSD,SELL,2023-04-26 03:00:00,1.24112,1.0,1.0,0.01,1.0,2023-04-26 04:00:00,24111.999999999996,SL/TP hit
43,GBPUSD,BUY,2023-04-27 03:00:00,1.24707,1.0,1.0,0.01,1.0,2023-04-27 04:00:00,-24706.99999999999,SL/TP hit
44,GBPUSD,SELL,2023-05-02 08:00:00,1.24961,1.0,1.0,0.01,1.0,2023-05-02 09:00:00,24961.000000000007,SL/TP hit
45,GBPUSD,BUY,2023-05-03 21:00:00,1.2563900000000001,1.0,1.0,0.01,1.0,2023-05-03 22:00:00,-25639.00000000001,SL/TP hit
46,GBPUSD,SELL,2023-05-09 15:00:00,1.2586300000000001,1.0,1.0,0.01,1.0,2023-05-09 16:00:00,25863.00000000001,SL/TP hit
47,GBPUSD,BUY,2023-05-10 21:00:00,1.26226,1.0,1.0,0.01,1.0,2023-05-10 22:00:00,-26225.999999999993,SL/TP hit
48,GBPUSD,SELL,2023-05-11 14:00:00,1.25861,1.0,1.0,0.01,1.0,2023-05-11 15:00:00,25861.0,SL/TP hit
49,GBPUSD,BUY,2023-05-16 04:00:00,1.2524899999999999,1.0,1.0,0.01,1.0,2023-05-16 05:00:00,-25248.999999999985,SL/TP hit
50,GBPUSD,SELL,2023-05-17 10:00:00,1.24219,1.0,1.0,0.01,1.0,2023-05-17 11:00:00,24218.99999999999,SL/TP hit
51,GBPUSD,BUY,2023-05-22 09:00:00,1.2432699999999999,1.0,1.0,0.01,1.0,2023-05-22 10:00:00,-24326.999999999985,SL/TP hit
52,GBPUSD,SELL,2023-05-23 13:00:00,1.23851,1.0,1.0,0.01,1.0,2023-05-23 14:00:00,23850.999999999996,SL/TP hit
53,GBPUSD,BUY,2023-05-29 05:00:00,1.23501,1.0,1.0,0.01,1.0,2023-05-29 06:00:00,-23500.999999999993,SL/TP hit
54,GBPUSD,SELL,2023-06-05 09:00:00,1.24079,1.0,1.0,0.01,1.0,2023-06-05 10:00:00,24079.000000000004,SL/TP hit
55,GBPUSD,BUY,2023-06-07 15:00:00,1.2464,1.0,1.0,0.01,1.0,2023-06-07 16:00:00,-24639.999999999993,SL/TP hit
56,GBPUSD,SELL,2023-06-13 02:00:00,1.25145,1.0,1.0,0.01,1.0,2023-06-13 03:00:00,25144.999999999993,SL/TP hit
57,GBPUSD,BUY,2023-06-14 00:00:00,1.26111,1.0,1.0,0.01,1.0,2023-06-14 01:00:00,-26110.999999999993,SL/TP hit
58,GBPUSD,SELL,2023-06-20 06:00:00,1.27911,1.0,1.0,0.01,1.0,2023-06-20 07:00:00,27910.999999999996,SL/TP hit
59,GBPUSD,BUY,2023-06-22 15:00:00,1.27488,1.0,1.0,0.01,1.0,2023-06-22 16:00:00,-27488.0,SL/TP hit
60,GBPUSD,SELL,2023-06-23 06:00:00,1.27116,1.0,1.0,0.01,1.0,2023-06-23 07:00:00,27116.000000000004,SL/TP hit
61,GBPUSD,BUY,2023-06-27 11:00:00,1.27373,1.0,1.0,0.01,1.0,2023-06-27 12:00:00,-27373.0,SL/TP hit
62,GBPUSD,SELL,2023-06-27 13:00:00,1.2732999999999999,1.0,1.0,0.01,1.0,2023-06-27 14:00:00,27329.999999999985,SL/TP hit
63,GBPUSD,BUY,2023-06-27 15:00:00,1.27376,1.0,1.0,0.01,1.0,2023-06-27 16:00:00,-27375.999999999996,SL/TP hit
64,GBPUSD,SELL,2023-06-28 18:00:00,1.26353,1.0,1.0,0.01,1.0,2023-06-28 19:00:00,26353.000000000004,SL/TP hit
65,GBPUSD,BUY,2023-06-30 22:00:00,1.26987,1.0,1.0,0.01,1.0,2023-06-30 23:00:00,-26987.000000000004,SL/TP hit
66,GBPUSD,SELL,2023-07-17 18:00:00,1.30755,1.0,1.0,0.01,1.0,2023-07-17 19:00:00,30754.999999999996,SL/TP hit
67,GBPUSD,BUY,2023-07-26 00:00:00,1.2901099999999999,1.0,1.0,0.01,1.0,2023-07-26 01:00:00,-29010.999999999985,SL/TP hit
68,GBPUSD,SELL,2023-07-28 03:00:00,1.27902,1.0,1.0,0.01,1.0,2023-07-28 04:00:00,27902.000000000004,SL/TP hit
69,GBPUSD,BUY,2023-07-31 19:00:00,1.28578,1.0,1.0,0.01,1.0,2023-07-31 20:00:00,-28577.99999999999,SL/TP hit
70,GBPUSD,SELL,2023-08-01 14:00:00,1.27844,1.0,1.0,0.01,1.0,2023-08-01 15:00:00,27844.0,SL/TP hit
71,GBPUSD,BUY,2023-08-04 19:00:00,1.27812,1.0,1.0,0.01,1.0,2023-08-04 20:00:00,-27811.99999999999,SL/TP hit
