id,symbol,type,entry_time,entry_price,sl,tp,exit_price,exit_time,pnl_pips,comment
1,USDJPY,SELL,2025-01-20 03:00:00,155.923,156.003,155.779,156.003,2025-01-20 04:00:00,-79.99999999998408,SL Hit
2,USDJPY,SELL,2025-02-06 13:00:00,152.423,152.503,152.279,152.279,2025-02-06 14:00:00,144.00000000000546,TP Hit
3,USDJPY,SELL,2025-02-07 17:00:00,151.387,151.467,151.243,151.467,2025-02-07 18:00:00,-80.0000000000125,SL Hit
4,USDJPY,BUY,2025-02-13 10:00:00,154.023,153.943,154.167,153.943,2025-02-13 11:00:00,-79.99999999998408,SL Hit
5,USDJPY,SELL,2025-02-21 07:00:00,150.357,150.437,150.213,150.437,2025-02-21 08:00:00,-80.0000000000125,SL Hit
6,USDJPY,SELL,2025-02-21 13:00:00,150.272,150.352,150.128,150.352,2025-02-21 14:00:00,-80.0000000000125,SL Hit
7,USDJPY,SELL,2025-03-05 09:00:00,149.448,149.528,149.304,149.528,2025-03-05 10:00:00,-79.99999999998408,SL Hit
8,USDJPY,BUY,2025-03-13 11:00:00,148.149,148.069,148.293,148.069,2025-03-13 13:00:00,-80.0000000000125,SL Hit
9,USDJPY,SELL,2025-03-20 19:00:00,148.766,148.846,148.622,148.846,2025-03-20 20:00:00,-80.0000000000125,SL Hit
10,USDJPY,BUY,2025-03-25 10:00:00,150.62,150.54,150.764,150.54,2025-03-25 11:00:00,-80.0000000000125,SL Hit
11,USDJPY,BUY,2025-03-25 22:00:00,149.881,149.801,150.025,150.025,2025-03-26 02:00:00,144.00000000000546,TP Hit
12,USDJPY,SELL,2025-04-01 01:00:00,149.885,149.965,149.741,149.965,2025-04-01 02:00:00,-80.0000000000125,SL Hit
13,USDJPY,SELL,2025-04-04 14:00:00,145.394,145.474,145.25,145.474,2025-04-04 15:00:00,-79.99999999998408,SL Hit
14,USDJPY,SELL,2025-04-07 01:00:00,145.153,145.233,145.009,145.233,2025-04-07 02:00:00,-80.0000000000125,SL Hit
15,USDJPY,BUY,2025-05-02 19:00:00,144.663,144.583,144.807,144.583,2025-05-02 20:00:00,-80.0000000000125,SL Hit
16,USDJPY,BUY,2025-05-09 16:00:00,145.145,145.065,145.289,145.065,2025-05-09 17:00:00,-80.0000000000125,SL Hit
17,USDJPY,BUY,2025-05-09 19:00:00,145.27,145.19,145.414,145.19,2025-05-09 21:00:00,-80.0000000000125,SL Hit
18,USDJPY,BUY,2025-05-13 11:00:00,147.914,147.834,148.058,148.058,2025-05-13 13:00:00,144.00000000000546,TP Hit
19,USDJPY,BUY,2025-05-14 10:00:00,146.97,146.89,147.114,146.89,2025-05-14 11:00:00,-80.0000000000125,SL Hit
20,USDJPY,SELL,2025-05-19 00:00:00,145.413,145.493,145.269,145.269,2025-05-19 01:00:00,144.00000000000546,TP Hit
21,USDJPY,SELL,2025-06-03 08:00:00,142.943,143.023,142.799,143.023,2025-06-03 09:00:00,-79.99999999998408,SL Hit
22,USDJPY,BUY,2025-06-09 15:00:00,144.623,144.543,144.767,144.543,2025-06-09 17:00:00,-79.99999999998408,SL Hit
23,USDJPY,BUY,2025-06-11 23:00:00,144.505,144.425,144.649,144.425,2025-06-12 01:00:00,-79.99999999998408,SL Hit
24,USDJPY,BUY,2025-06-12 01:00:00,144.248,144.168,144.392,144.168,2025-06-12 02:00:00,-79.99999999998408,SL Hit
25,USDJPY,SELL,2025-06-13 19:00:00,144.026,144.106,143.882,144.106,2025-06-13 20:00:00,-79.99999999998408,SL Hit
